feature,coefficient_median,coefficient_q25,coefficient_q75,outer_folds,sign_consistency
context__wafer_order,-0.07013336312281065,-0.07103157571143615,-0.06643931278973235,10,1.0
cycle__ForeLinePressure__phase_contrast_median,-0.04272827476848025,-0.045606096430615,-0.03744892778009125,10,1.0
cycle__SourceRFReflectedPower__level_median,-0.040241020490074,-0.04235238515393833,-0.03577335133366742,10,1.0
cycle__PlatenRFTuningCapacitor__phase_contrast_median,-0.0395555441686829,-0.04219979219905965,-0.03672150202098048,10,1.0
cycle__PlatenRFTuningCapacitor__level_median,-0.038605932156913894,-0.04101004100486583,-0.03727839002199535,10,1.0
cycle__SourceRFReflectedPower__phase_contrast_median,0.038504997014991854,0.032934012508732,0.0404546131672036,10,1.0
cycle__PlatenRFPeakToPeak__level_median,-0.03706491899535305,-0.03894640817947995,-0.034351549058303,10,1.0
slow__Heater2Temp__active_median,0.0320732157070135,0.02666875431396685,0.0337855765171109,10,1.0
cycle__PlatenRFReflectedPower__late_minus_early,0.0317086375508524,0.026046858988026875,0.03442157738556693,10,1.0
timing__startup_interval_s,-0.02987983885507145,-0.03262637602342097,-0.029016160112352776,10,1.0
cycle__PlatenRFReflectedPower__level_median,0.0289614298421867,0.025636414998532774,0.0344157758101159,10,1.0
cycle__PlatenRFReflectedPower__phase_contrast_median,-0.0281212068103174,-0.03148661544141297,-0.0245006591267954,10,1.0
cycle__PlatenRFLoadCapacitor__level_median,0.0271162000275049,0.025511640069740948,0.028219794257827124,10,1.0
context__conditioning_count,0.024387321176321,0.0189461818166154,0.030465695760034925,10,1.0
cycle__SourceRFReflectedPower__phase_contrast_mad,0.0238695328438946,0.02201958080278195,0.029647946636403275,10,1.0
cycle__SourceRFLoadPower__level_median,0.023541073950801752,0.021345237358434126,0.02819569616696685,10,1.0
cycle__PlatenRFTuningCapacitor__phase_contrast_mad,0.02346307676202215,0.020887551633449547,0.02939568769539965,10,1.0
slow__Heater3Temp__active_median,-0.022461046835944652,-0.027880646002012375,-0.019517540151120574,10,1.0
cycle__Pressure__late_minus_early,0.0224444202238991,0.0179119439964154,0.025213092804050874,10,1.0
cycle__PlatenRFTuningCapacitor__late_minus_early,0.02186527420317315,0.02080692714677355,0.028115972346638075,10,1.0
cycle__SourceRFPeakToPeak__phase_contrast_median,0.021515623609376748,0.01937435572169675,0.02407476770773285,10,1.0
cycle__PlatenRFLoadCapacitor__phase_contrast_median,0.021454391464579503,0.020048503486685673,0.024809861302296697,10,1.0
cycle__PlatenRFLoadCapacitor__late_minus_early,-0.02030796622118355,-0.022750854028775674,-0.017742820977752025,10,1.0
timing__source_active_span_s,0.02030690716741345,0.019014076049979577,0.021826542301417777,10,1.0
