lot_number,n_wafers,mean_predicted_std_um,mean_absolute_error_um,coverage_90,coverage_95
1,9,0.14747190654865847,0.0654464710070633,1.0,1.0
2,10,0.1378584717249891,0.19482822360007285,0.6,0.7
3,10,0.17476889591342423,0.16056911980930905,0.9,0.9
4,10,0.1580827564302257,0.09070149772382617,1.0,1.0
5,10,0.17476967589501202,0.2830044406914617,0.5,0.7
6,10,0.16754081352161843,0.1493503044147182,0.9,0.9
7,6,0.12535304519184173,0.12973888152605534,0.6666666666666666,0.8333333333333334
8,10,0.1420937081640146,0.19808872005715297,0.7,0.7
9,9,0.16192674155184786,0.21119233454670583,0.7777777777777778,0.7777777777777778
10,4,0.1297264727866521,0.14958916854292242,0.75,1.0
