model_id,reference_model_id,delta_macro_lot_mae_um,lower_95_um,upper_95_um,lots_better_than_reference,lots_worse_than_reference,n_lots,n_bootstrap
dummy_mean,cycle_ridge,0.22359861780629534,0.1575619426471471,0.2799523112324432,1,9,10,10000
context_ridge,cycle_ridge,0.0719348367027894,0.04569296265947322,0.10197280087795654,0,10,10,10000
cycle_ridge,cycle_ridge,0.0,0.0,0.0,0,0,10,10000
pls,cycle_ridge,-0.012683143383272394,-0.02534626192511826,-0.0016819797171834024,7,3,10,10000
elastic_net,cycle_ridge,-0.03185199359347586,-0.05034414697621042,-0.015791913045120624,9,1,10,10000
rbf_svr,cycle_ridge,0.05171093187854533,0.01769685613967694,0.08379350041556503,2,8,10,10000
pca_gpr,cycle_ridge,0.03934084932750849,0.0021154302732988243,0.08461782711883246,4,6,10,10000
extra_trees,cycle_ridge,0.016078597203701226,-0.013004606935028626,0.045785444811399886,3,7,10,10000
dummy_mean,dummy_mean,0.0,0.0,0.0,0,0,10,10000
context_ridge,dummy_mean,-0.15166378110350592,-0.20009522375898567,-0.0938520922129509,9,1,10,10000
cycle_ridge,dummy_mean,-0.22359861780629534,-0.27995231123244324,-0.15756194264714724,9,1,10,10000
pls,dummy_mean,-0.2362817611895677,-0.2896089856407565,-0.17263963195017615,10,0,10,10000
elastic_net,dummy_mean,-0.25545061139977115,-0.30610669008221686,-0.194256135435372,10,0,10,10000
rbf_svr,dummy_mean,-0.17188768592774997,-0.20803138263200488,-0.132827150095998,10,0,10,10000
pca_gpr,dummy_mean,-0.18425776847878686,-0.2518123312858222,-0.11177937268218589,9,1,10,10000
extra_trees,dummy_mean,-0.20752002060259409,-0.2571340483010492,-0.15169336776195075,10,0,10,10000
