model_id,scope,outer_fold,outer_test_lot,parameter,value,best_inner_macro_lot_mae_um
dummy_mean,outer_fold,1.0,1.0,(no tuned parameter),training mean,0.3458689521129379
dummy_mean,outer_fold,2.0,2.0,(no tuned parameter),training mean,0.3383639443846318
dummy_mean,outer_fold,3.0,3.0,(no tuned parameter),training mean,0.3506851123176049
dummy_mean,outer_fold,4.0,4.0,(no tuned parameter),training mean,0.33670481729665114
dummy_mean,outer_fold,5.0,5.0,(no tuned parameter),training mean,0.34263264411902605
dummy_mean,outer_fold,6.0,6.0,(no tuned parameter),training mean,0.3453570858666774
dummy_mean,outer_fold,7.0,7.0,(no tuned parameter),training mean,0.36552062985707207
dummy_mean,outer_fold,8.0,8.0,(no tuned parameter),training mean,0.36804857200366636
dummy_mean,outer_fold,9.0,9.0,(no tuned parameter),training mean,0.34659862818343345
dummy_mean,outer_fold,10.0,10.0,(no tuned parameter),training mean,0.3364999477382481
dummy_mean,final_all_data_refit,,,(no tuned parameter),training mean,0.34750868467071566
context_ridge,outer_fold,1.0,1.0,model__alpha,1.0,0.20614433840440782
context_ridge,outer_fold,2.0,2.0,model__alpha,1.0,0.18600108604993745
context_ridge,outer_fold,3.0,3.0,model__alpha,10.0,0.2581991274168833
context_ridge,outer_fold,4.0,4.0,model__alpha,1.0,0.16781393108537415
context_ridge,outer_fold,5.0,5.0,model__alpha,10.0,0.21201682737039496
context_ridge,outer_fold,6.0,6.0,model__alpha,10.0,0.23128222073493296
context_ridge,outer_fold,7.0,7.0,model__alpha,0.01,0.19226246739365913
context_ridge,outer_fold,8.0,8.0,model__alpha,0.1,0.2058419819471672
context_ridge,outer_fold,9.0,9.0,model__alpha,1.0,0.20087670013421446
context_ridge,outer_fold,10.0,10.0,model__alpha,10.0,0.19539828904966783
context_ridge,final_all_data_refit,,,model__alpha,1.0,0.1930495489474695
cycle_ridge,outer_fold,1.0,1.0,model__alpha,100.0,0.1509226005155664
cycle_ridge,outer_fold,2.0,2.0,model__alpha,10.0,0.1360117107784537
cycle_ridge,outer_fold,3.0,3.0,model__alpha,10.0,0.1363381494614149
cycle_ridge,outer_fold,4.0,4.0,model__alpha,10.0,0.10533633858931364
cycle_ridge,outer_fold,5.0,5.0,model__alpha,10.0,0.11677469727722108
cycle_ridge,outer_fold,6.0,6.0,model__alpha,1.0,0.1270992008849116
cycle_ridge,outer_fold,7.0,7.0,model__alpha,10.0,0.11832974621214823
cycle_ridge,outer_fold,8.0,8.0,model__alpha,10.0,0.12653706887029836
cycle_ridge,outer_fold,9.0,9.0,model__alpha,10.0,0.1299275365867446
cycle_ridge,outer_fold,10.0,10.0,model__alpha,10.0,0.1113838811763701
cycle_ridge,final_all_data_refit,,,model__alpha,10.0,0.11720511641850177
pls,outer_fold,1.0,1.0,model__n_components,5,0.133500692526497
pls,outer_fold,2.0,2.0,model__n_components,5,0.11688001314271663
pls,outer_fold,3.0,3.0,model__n_components,5,0.12828659948008964
pls,outer_fold,4.0,4.0,model__n_components,5,0.10171319015158382
pls,outer_fold,5.0,5.0,model__n_components,5,0.10840793340957235
pls,outer_fold,6.0,6.0,model__n_components,3,0.1256891149219631
pls,outer_fold,7.0,7.0,model__n_components,5,0.1168544637167427
pls,outer_fold,8.0,8.0,model__n_components,3,0.10662931154255798
pls,outer_fold,9.0,9.0,model__n_components,5,0.12492022049362705
pls,outer_fold,10.0,10.0,model__n_components,5,0.10819978796470985
pls,final_all_data_refit,,,model__n_components,5,0.11048042148200521
elastic_net,outer_fold,1.0,1.0,model__alpha,0.01,0.11076261023183986
elastic_net,outer_fold,1.0,1.0,model__l1_ratio,0.9,0.11076261023183986
elastic_net,outer_fold,2.0,2.0,model__alpha,0.01,0.10397259652795
elastic_net,outer_fold,2.0,2.0,model__l1_ratio,0.9,0.10397259652795
elastic_net,outer_fold,3.0,3.0,model__alpha,0.01,0.10869145650874062
elastic_net,outer_fold,3.0,3.0,model__l1_ratio,0.9,0.10869145650874062
elastic_net,outer_fold,4.0,4.0,model__alpha,0.01,0.07953331951321371
elastic_net,outer_fold,4.0,4.0,model__l1_ratio,0.5,0.07953331951321371
