feature,physical_block
cycle__Gas4Flow__level_median,gas_delivery
cycle__Gas4Flow__phase_contrast_median,gas_delivery
cycle__Gas4Flow__phase_contrast_mad,gas_delivery
cycle__Gas4Flow__late_minus_early,gas_delivery
cycle__Gas5Flow__level_median,gas_delivery
cycle__Gas5Flow__phase_contrast_median,gas_delivery
cycle__Gas5Flow__phase_contrast_mad,gas_delivery
cycle__Gas5Flow__late_minus_early,gas_delivery
cycle__ForeLinePressure__level_median,pressure_helium
cycle__ForeLinePressure__phase_contrast_median,pressure_helium
cycle__ForeLinePressure__phase_contrast_mad,pressure_helium
cycle__ForeLinePressure__late_minus_early,pressure_helium
cycle__Pressure__level_median,pressure_helium
cycle__Pressure__phase_contrast_median,pressure_helium
cycle__Pressure__phase_contrast_mad,pressure_helium
cycle__Pressure__late_minus_early,pressure_helium
cycle__HeliumBPFlow__level_median,pressure_helium
cycle__HeliumBPFlow__phase_contrast_median,pressure_helium
cycle__HeliumBPFlow__phase_contrast_mad,pressure_helium
cycle__HeliumBPFlow__late_minus_early,pressure_helium
cycle__PlatenDcBias__level_median,rf_power
cycle__PlatenDcBias__phase_contrast_median,rf_power
cycle__PlatenDcBias__phase_contrast_mad,rf_power
cycle__PlatenDcBias__late_minus_early,rf_power
cycle__PlatenRFLoadPower__level_median,rf_power
cycle__PlatenRFLoadPower__phase_contrast_median,rf_power
cycle__PlatenRFLoadPower__phase_contrast_mad,rf_power
cycle__PlatenRFLoadPower__late_minus_early,rf_power
cycle__PlatenRFPeakToPeak__level_median,rf_power
cycle__PlatenRFPeakToPeak__phase_contrast_median,rf_power
cycle__PlatenRFPeakToPeak__phase_contrast_mad,rf_power
cycle__PlatenRFPeakToPeak__late_minus_early,rf_power
cycle__PlatenRFReflectedPower__level_median,rf_power
cycle__PlatenRFReflectedPower__phase_contrast_median,rf_power
cycle__PlatenRFReflectedPower__phase_contrast_mad,rf_power
cycle__PlatenRFReflectedPower__late_minus_early,rf_power
cycle__PlatenRFLoadCapacitor__level_median,rf_power
cycle__PlatenRFLoadCapacitor__phase_contrast_median,rf_power
cycle__PlatenRFLoadCapacitor__phase_contrast_mad,rf_power
cycle__PlatenRFLoadCapacitor__late_minus_early,rf_power
cycle__PlatenRFTuningCapacitor__level_median,rf_power
cycle__PlatenRFTuningCapacitor__phase_contrast_median,rf_power
cycle__PlatenRFTuningCapacitor__phase_contrast_mad,rf_power
cycle__PlatenRFTuningCapacitor__late_minus_early,rf_power
cycle__SourceRFLoadPower__level_median,rf_power
cycle__SourceRFLoadPower__phase_contrast_median,rf_power
cycle__SourceRFLoadPower__phase_contrast_mad,rf_power
cycle__SourceRFLoadPower__late_minus_early,rf_power
cycle__SourceRFPeakToPeak__level_median,rf_power
cycle__SourceRFPeakToPeak__phase_contrast_median,rf_power
cycle__SourceRFPeakToPeak__phase_contrast_mad,rf_power
cycle__SourceRFPeakToPeak__late_minus_early,rf_power
cycle__SourceRFReflectedPower__level_median,rf_power
cycle__SourceRFReflectedPower__phase_contrast_median,rf_power
cycle__SourceRFReflectedPower__phase_contrast_mad,rf_power
cycle__SourceRFReflectedPower__late_minus_early,rf_power
timing__short_duration_median_s,gas_delivery
timing__short_duration_iqr_s,gas_delivery
timing__long_duration_median_s,gas_delivery
timing__long_duration_iqr_s,gas_delivery
timing__cycle_period_median_s,timing
timing__cycle_period_iqr_s,timing
timing__extra_long_components,gas_delivery
timing__abnormal_cycle_intervals,timing
timing__source_active_span_s,rf_power
timing__startup_interval_s,timing
slow__Heater2Temp__active_median,temperature
slow__Heater2Temp__late_minus_early,temperature
slow__Heater3Temp__active_median,temperature
slow__Heater3Temp__late_minus_early,temperature
slow__Heater4Temp__active_median,temperature
slow__Heater4Temp__late_minus_early,temperature
slow__Gas2Flow__active_median,gas_delivery
slow__Gas2Flow__late_minus_early,gas_delivery
slow__Gas7Flow__active_median,gas_delivery
slow__Gas7Flow__late_minus_early,gas_delivery
context__conditioning_count,context
context__conditioning_surface_chuck,context
context__conditioning_surface_si,context
context__conditioning_surface_sio2,context
context__wafer_order,context
