experiment_key,lot_number,wafer_order,outer_fold,outer_test_lot
2024-07-02_01,1,1,1,1
2024-07-02_02,1,2,1,1
2024-07-02_03,1,3,1,1
2024-07-02_04,1,4,1,1
2024-07-02_05,1,5,1,1
2024-07-02_06,1,6,1,1
2024-07-02_08,1,8,1,1
2024-07-02_09,1,9,1,1
2024-07-02_10,1,10,1,1
2024-07-05_01,2,1,2,2
2024-07-05_02,2,2,2,2
2024-07-05_03,2,3,2,2
2024-07-05_04,2,4,2,2
2024-07-05_05,2,5,2,2
2024-07-05_06,2,6,2,2
2024-07-05_07,2,7,2,2
2024-07-05_08,2,8,2,2
2024-07-05_09,2,9,2,2
2024-07-05_10,2,10,2,2
2024-07-09_01,3,1,3,3
2024-07-09_02,3,2,3,3
2024-07-09_03,3,3,3,3
2024-07-09_04,3,4,3,3
2024-07-09_05,3,5,3,3
2024-07-09_06,3,6,3,3
2024-07-09_07,3,7,3,3
2024-07-09_08,3,8,3,3
2024-07-09_09,3,9,3,3
2024-07-09_10,3,10,3,3
2024-07-11_01,4,1,4,4
2024-07-11_02,4,2,4,4
2024-07-11_03,4,3,4,4
2024-07-11_04,4,4,4,4
2024-07-11_05,4,5,4,4
2024-07-11_06,4,6,4,4
2024-07-11_07,4,7,4,4
2024-07-11_08,4,8,4,4
2024-07-11_09,4,9,4,4
2024-07-11_10,4,10,4,4
2024-07-19_01,5,1,5,5
2024-07-19_02,5,2,5,5
2024-07-19_03,5,3,5,5
2024-07-19_04,5,4,5,5
2024-07-19_05,5,5,5,5
2024-07-19_06,5,6,5,5
2024-07-19_07,5,7,5,5
2024-07-19_08,5,8,5,5
2024-07-19_09,5,9,5,5
2024-07-19_10,5,10,5,5
2024-08-01_01,6,1,6,6
2024-08-01_02,6,2,6,6
2024-08-01_03,6,3,6,6
2024-08-01_04,6,4,6,6
2024-08-01_05,6,5,6,6
2024-08-01_06,6,6,6,6
2024-08-01_07,6,7,6,6
2024-08-01_08,6,8,6,6
2024-08-01_09,6,9,6,6
2024-08-01_10,6,10,6,6
2024-08-05_01,7,1,7,7
2024-08-05_02,7,2,7,7
2024-08-05_03,7,3,7,7
2024-08-05_04,7,4,7,7
2024-08-05_05,7,5,7,7
2024-08-05_06,7,6,7,7
2024-08-07_01,8,1,8,8
2024-08-07_02,8,2,8,8
2024-08-07_03,8,3,8,8
2024-08-07_04,8,4,8,8
2024-08-07_05,8,5,8,8
2024-08-07_06,8,6,8,8
2024-08-07_07,8,7,8,8
2024-08-07_08,8,8,8,8
2024-08-07_09,8,9,8,8
2024-08-07_10,8,10,8,8
2024-08-21_01,9,1,9,9
2024-08-21_02,9,2,9,9
2024-08-21_03,9,3,9,9
2024-08-21_04,9,4,9,9
2024-08-21_05,9,5,9,9
2024-08-21_06,9,6,9,9
2024-08-21_07,9,7,9,9
2024-08-21_08,9,8,9,9
2024-08-21_10,9,10,9,9
2024-08-22_01,10,1,10,10
2024-08-22_02,10,2,10,10
2024-08-22_03,10,3,10,10
2024-08-22_04,10,4,10,10
